"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Barbados","BRB","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","3.667","7.334","7.334","7.334","7.334","7.334","7.334","7.334","7.334","7.334","7.334","7.334","3.667","7.334","3.667","3.667","7.334","7.334","18.335","22.002","25.669","14.668","18.335","22.002","36.67","47.671","51.338","44.004","51.338","55.005","51.338","44.004","36.67","36.67","36.67","33.003","29.336","36.67","33.003","44.004","36.67","29.336","29.336","29.336","29.336","29.336","36.67","36.67","33.003","33.003","29.336","33.003","36.67","44.004","25.669","33.003","33.003","","","","","",
"Brunei Darussalam","BRN","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","304.361","275.025","293.36","300.694","267.691","326.363","289.693","293.36","286.026","322.696","388.702","363.033","737.067","861.745","1367.791","1518.138","1023.093","1789.496","3604.661","3476.316","2904.264","1184.441","1177.107","1312.786","1096.433","1235.779","942.419","2079.189","4066.703","4723.096","4594.751","2467.891","2805.255","2772.252","2629.239","2735.582","2827.257","2933.6","3050.944","1668.485","3047.277","2907.931","2852.926","2904.264","3245.295","3285.632","3241.628","5944.207","6497.924","5603.176","6131.224","7293.663","7121.314","5628.845","6776.616","4895.445","5342.819","","","","","",
"Bhutan","BTN","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Botswana","BWA","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.667","0","","","","","",
"Central African Republic","CAF","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Canada","CAN","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","21554.626","22984.756","25999.03","22383.368","34187.441","38067.127","42456.526","45100.433","55569.718","58345.637","62676.364","67524.138","76548.625","81935.448","83585.598","85983.816","99009","102037.942","104637.845","112664.908","112133.193","110116.343","110417.037","114124.374","121330.029","125327.059","115877.2","119217.837","127307.239","138535.593","125378.397","126896.535","133717.155","141912.9","148891.201","153705.972","161325.998","162532.441","156012.515","162946.812","170075.46","164626.298","167992.604","182605.599","178703.911","184805.799","181828.195","181153.467","180970.117","179620.661","180251.385","191146.042","190460.313","198571.717","202488.073","199946.842","217027.728","","","","","",
"Central Europe and the Baltics","CEB","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134765.917","130688.213","125686.425","136515.076","145194.865","134545.897","130812.891","127079.885","129137.072","133984.846","132455.707","140930.144","139980.391","143313.694","142070.581","137351.152","134428.553","119899.899","130083.158","126401.49","123768.584","119280.176","110574.718","113240.627","117993.059","","","","","",
"Switzerland","CHE","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","-3.667","-3.667","-3.667","-3.667","-3.667","0","-3.667","3.667","22.002","25.669","84.341","201.685","256.69","348.365","737.067","1184.441","1239.446","1415.462","1554.808","1738.158","1983.847","2141.528","2262.539","2486.226","2772.252","2904.264","2973.937","3186.623","3208.625","3490.984","3736.673","4195.048","4411.401","4627.754","4561.748","5027.457","5441.828","5254.811","5408.825","5603.176","5573.84","5801.194","5694.851","6017.547","6208.231","6373.246","6197.23","6035.882","6428.251","6171.561","6893.96","6112.889","6703.276","7058.975","6116.556","6530.927","6864.624","","","","","",
"Channel Islands","CHI","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","91.675","102.676","102.676","102.676","102.676","113.677","113.677","124.678","128.345","143.013","2368.882","2493.56","2555.899","2266.206","2258.872","2258.872","1598.812","1507.137","913.083","1419.129","1433.797","1642.816","1697.821","1804.164","1811.498","1848.168","1686.82","1653.817","2203.867","3256.296","2614.571","2200.2","2614.571","2449.556","2632.906","2618.238","2684.244","4532.412","6446.586","9039.155","11928.751","13527.563","13516.562","14748.674","16061.46","15570.082","14345.304","8771.464","4829.439","6384.247","10234.597","10458.284","9816.559","9299.512","8302.088","9119.829","9959.572","","","","","",
"China","CHN","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","1994.848","2819.923","2324.878","1958.178","2031.518","2112.192","2570.567","2801.588","2687.911","3762.342","5507.834","7179.986","9288.511","11477.71","14451.647","16985.544","19383.762","23256.114","26307.058","27799.527","27341.152","24407.552","22918.75","23457.799","24246.204","24840.258","26373.064","26622.42","27333.818","28844.622","29324.999","30802.8","30263.751","35756.917","41602.115","42471.194","44506.379","44194.684","50542.261","54616.298","59845.44","67212.443","54036.912","60795.193","71579.84","85026.729","103838.439","135433.311","149796.95","171916.294","199748.824","246191.379","277826.588","320389.457","353880.168","366949.356","403091.308","","","","","",
"Cote d'Ivoire","CIV","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95.342","858.078","1404.461","1639.149","2394.551","2420.22","2625.572","2676.91","2350.547","2988.605","3336.97","3135.285","2889.596","3039.943","2786.92","3039.943","2995.939","3267.297","3751.341","3784.344","3861.351","4316.059","","","","","",
"Cameroon","CMR","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","685.729","711.398","590.387","594.054","425.372","509.713","586.72","850.744","942.419","1019.426","","","","","",
"Congo, Dem. Rep.","COD","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.002","44.004","44.004","44.004","44.004","44.004","0","0","3.667","3.667","0","","","","","",
"Congo, Rep.","COG","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","7.334","80.674","139.346","161.348","29.336","33.003","33.003","14.668","0","3.667","3.667","3.667","0","3.667","3.667","3.667","7.334","3.667","3.667","3.667","3.667","3.667","3.667","102.676","201.685","201.685","201.685","201.685","253.023","253.023","275.025","238.355","0","0","33.003","36.67","44.004","44.004","40.337","47.671","106.343","194.351","282.359","407.037","579.386","524.381","524.381","487.711","","","","","",
"Colombia","COL","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","689.396","711.398","1074.431","1305.452","1382.459","1705.155","2024.184","2108.525","2178.198","2427.554","2717.247","3014.274","3538.655","3689.002","3571.658","3600.994","3703.67","4206.049","5573.84","5977.21","6912.295","7389.005","7730.036","8478.104","8525.775","7356.002","6901.294","7190.987","7539.352","7069.976","8379.095","8701.791","8371.761","8650.453","8984.15","8302.088","10241.931","12464.133","13032.518","11210.019","12497.136","13270.873","13256.205","12691.487","13358.881","14018.941","14044.61","14044.61","17531.927","20113.495","22005.667","21066.915","22918.75","23124.102","22684.062","23120.435","21910.325","","","","","",
"Comoros","COM","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Cabo Verde","CPV","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Costa Rica","CRI","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Caribbean small states","CSS","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","3.667","14.668","29.336","36.67","33.003","40.337","33.003","22.002","33.003","33.003","25.669","18.335","14.668","7.334","11.001","11.001","44.004","40.337","62.339","69.673","69.673","40.337","44.004","36.67","33.003","36.67","69.673","231.021","883.747","1103.767","1144.104","1122.102","1265.115","1353.123","1426.463","2082.856","2339.546","2229.536","2218.535","2060.854","1958.178","1987.514","2046.186","2306.543","2390.884","2277.207","","","","","",
"Curacao","CUW","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","275.025","275.025","","","","","",
"Cayman Islands","CYM","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Cyprus","CYP","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
